Cervical_FaseInicialFilter,Cervical_FaseFinalFilter
-0.027572363,-0.02991143
-0.014371957,-0.031230129
0.000397168,-0.017396843
0.006978497,0.009431596
0.006988394,0.04495783
0.005647098,0.061350708
0.008696908,0.031692458
0.011404004,-0.00424511
0.005841501,-0.014421908
-0.000228188,-0.032959275
-0.002378151,-0.057880549
-0.005358057,-0.057990148
-0.005386526,-0.050180288
-0.003423304,-0.039869493
-0.005576783,-0.006951832
-0.007301528,0.030640888
-0.005974243,0.044753782
-0.002311879,0.035685525
0.004361013,0.015767988
0.007947855,0.002497585
0.007580161,0.004189558
0.009849529,0.006192073
0.014229629,0.002380639
0.016090723,0.006063672
0.011197956,0.015025767
0.002396032,0.017743558
-0.003975962,0.016210352
-0.013154572,0.011059752
-0.020905456,0.004986157
-0.011431512,0.003268696
0.004039213,-0.003031765
0.004531292,-0.01178178
-0.006103982,-0.012348828
-0.011267539,-0.014958779
-0.00313007,-0.01809858
0.003855113,-0.012552106
0.001913651,-0.014994484
0.006039945,-0.020455957
0.008949713,-0.006888594
0.001527817,0.005350294
-0.00011552,0.003597147
-0.001904077,0.00797662
-0.009702194,0.007403114
-0.005251911,-0.009259757
0.005394578,-0.015671279
0.00803618,-0.010147973
0.00695882,-0.004865835
-0.000518892,0.011007062
-0.012858218,0.021020123
-0.015299868,0.010860702
-0.005297405,0.01277176
0.009931857,0.020294206
0.018682158,0.005014203
0.010180525,-0.000238039
0.004917877,0.014539889
0.019408906,0.013144633
0.018648271,0.003745381
-0.01063998,0.000738844
-0.029376449,-0.005507564
-0.027040387,-0.007525764
-0.019702223,-0.011117612
-0.009042909,-0.019699149
-0.002758873,-0.009559714
-0.003422551,0.000902172
0.005286474,-0.007919804
0.019664383,-0.000371407
0.018857353,0.017729005
0.008171086,0.010041489
0.00358786,-0.001619803
-0.000331565,0.000318981
-0.003656847,-0.009994596
0.002219619,-0.036275372
0.006787192,-0.047309113
0.007541145,-0.031239728
0.009768579,-0.012741988
